Info:TIM: 6625
Info: Gravity RAW data:
x	y	z	
Info:ACC: 4.722949	-6.098681	6.755445	
Info:ACC: 4.722949	-6.099280	6.602319	
Info:ACC: 4.876074	-6.099280	6.756042	
Info:ACC: 4.876074	-5.945557	6.602918	
Info:ACC: 4.876672	-5.794226	6.142944	
Info:ACC: 4.571021	-5.794824	6.141748	
Info:ACC: 4.417297	-5.947351	6.448596	
Info:ACC: 4.876672	-5.946753	6.452783	
Info:ACC: 6.254797	-5.947949	5.844470	
Info:ACC: 7.020422	-6.101672	6.152514	
Info:ACC: 7.172949	-5.793030	7.223792	
info: :set_lcd_on:6637440:294: set lcd?
info: :get_service_queue:6637440:133: get sema for service queue
info: :show_step:6637550:351: show_step 410.
Info:TIM: 6630
Info: Gravity RAW data:
x	y	z	
GDB->counter = 0
Info:ACC: 7.022217	-5.328271	8.295069	
Info:ACC: 6.716565	-5.173950	8.141943	
Info:ACC: 7.177734	-4.868299	7.839282	
Info:ACC: 8.249609	-4.717566	7.842273	
Info:ACC: 8.558252	-3.948352	8.761621	
Info:ACC: 8.712573	-3.794031	8.914148	
Info:ACC: 8.407519	-3.640308	8.912951	
Info:ACC: 7.948743	-3.486584	9.063684	
Info:ACC: 7.643091	-3.180335	8.911756	
Info:ACC: 8.562439	-2.874683	8.915344	
Info:ACC: 8.871081	-2.262183	9.066675	
Info:ACC: 8.107251	-1.955334	9.063684	
Info:ACC: 7.189697	-1.802808	8.753845	
Info:ACC: 6.118421	-1.651477	8.290881	
Info:ACC: 5.811572	-1.806396	7.832105	
Info:ACC: 6.117224	-1.806995	7.985229	
Info:ACC: 5.812171	-1.345825	8.442810	
Info:ACC: 5.200867	-1.344629	8.747266	
Info:ACC: 5.200867	-1.344031	8.289087	
Info:ACC: 5.355188	-0.888245	7.369739	
Info:ACC: 5.049536	-1.044360	6.756640	
Info:ACC: 5.048340	-1.352405	6.604114	
Info:ACC: 5.353992	-1.352405	6.605310	
Info:ACC: 5.660242	-1.353003	6.147131	
Info:ACC: 5.966492	-1.662842	4.923926	
Info:ACC: 6.730322	-1.821948	3.395667	
Info:ACC: 7.495947	-1.671814	3.245532	
GDB->counter = 1
Info:ACC: 7.803992	-1.058716	3.551184	
Info:ACC: 7.345813	-1.211841	3.090015	
Info:ACC: 7.037170	-1.981055	1.863818	
Info:ACC: 6.729724	-1.986438	0.638220	
Info:ACC: 6.884046	-1.530652	0.027515	
Info:ACC: 7.651465	-1.223804	0.491675	
Info:ACC: 9.029590	-1.070679	-0.270361	
Info:ACC: 9.489563	-0.769214	-1.495361	
Info:ACC: 9.337036	-0.465955	-1.494763	
Info:ACC: 9.493152	0.302063	-0.422888	
Info:ACC: 9.189295	0.459375	0.188416	
Info:ACC: 9.036169	0.307446	0.341541	
Info:ACC: 8.882446	0.306848	0.034692	
Info:ACC: 8.883044	0.612500	-0.117834	
Info:ACC: 9.343616	1.071277	0.037085	
Info:ACC: 9.651660	1.225598	0.343335	
Info:ACC: 9.344812	0.919946	0.189014	
Info:ACC: 9.037964	0.918750	-0.270959	
Info:ACC: 9.344213	1.223804	-0.422290	
Info:ACC: 9.805384	1.682581	-0.267371	
Info:ACC: 9.959106	1.529456	-0.421094	
Info:ACC: 9.498535	1.376929	-0.116638	
Info:ACC: 9.192286	1.377527	-0.116638	
Info:ACC: 9.498535	1.530652	-0.115442	
Info:ACC: 9.805384	1.378125	0.038281	
Info:ACC: 9.805384	1.378125	0.037683	
info: :set_dispaly_suspend:6638114:368: dispaly_suspendinfo: :tp_goto_sleep:6638119:175: tp_goto_sleep
Info:TIM: 6631
Info: Gravity RAW data:
x	y	z	
GDB->counter = 0
Info:ACC: 9.191687	1.072473	0.035889	
Info:ACC: 9.344213	1.071875	0.037683	
Info:ACC: 9.957911	1.378125	0.192603	
Info:ACC: 10.112231	1.531848	0.192004	
Info:ACC: 9.805384	1.225598	0.190210	
Info:ACC: 9.344812	1.072473	0.342139	
Info:ACC: 9.191687	1.073071	0.342737	
Info:ACC: 9.651660	1.379919	0.497656	
Info:ACC: 9.958508	1.380518	0.651379	
Info:ACC: 9.805384	1.380518	0.497058	
Info:ACC: 9.498535	1.227393	0.649585	
Info:ACC: 9.498535	1.226794	0.496460	
Info:ACC: 9.652258	1.380518	0.650781	
Info:ACC: 9.805982	1.533643	0.650781	
Info:ACC: 9.805384	1.226794	0.497058	
Info:ACC: 9.498535	1.226794	0.495862	
Info:ACC: 9.498535	1.226794	0.496460	
Info:ACC: 9.651660	1.379919	0.497058	
Info:ACC: 9.652258	1.379919	0.496460	
Info:ACC: 9.498535	1.227393	0.495862	
Info:ACC: 9.345410	1.226794	0.648987	
Info:ACC: 9.345410	1.380518	0.648987	
Info:ACC: 9.345410	1.227393	0.648987	
Info:ACC: 9.498535	1.227393	0.648987	
Info:ACC: 9.345410	1.227393	0.648987	
Info:ACC: 9.345410	1.227393	0.648987	
Info:ACC: 9.498535	1.227393	0.802710	
GDB->counter = 1
Info:ACC: 9.498535	1.227991	0.802710	
Info:ACC: 9.498535	1.227991	0.802710	
Info:ACC: 9.498535	1.227393	0.649585	
Info:ACC: 9.651660	1.227393	0.650183	
Info:ACC: 9.651660	1.227393	0.650183	
Info:ACC: 9.651660	1.074268	0.649585	
Info:ACC: 9.497937	1.073669	0.496460	
Info:ACC: 9.497937	1.073669	0.496460	
Info:ACC: 9.497937	1.073669	0.496460	
Info:ACC: 9.497937	1.073669	0.496460	
Info:ACC: 9.497937	1.073669	0.496460	
Info:ACC: 9.497937	0.920544	0.496460	
Info:ACC: 9.497937	1.073669	0.496460	
Info:ACC: 9.497937	1.073669	0.496460	
Info:ACC: 9.651062	1.074268	0.650183	
Info:ACC: 9.650464	0.920544	0.497656	
Info:ACC: 9.956714	0.920544	0.498853	
Info:ACC: 10.109838	1.073669	0.805701	
Info:ACC: 10.262964	0.921741	0.805701	
